fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1200_p2.json,finished,2f17a97a-2a7c-4410-9c4a-70947e24b415,76115 cpu-seconds,310157612 mb-seconds,896,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1510_p0.json,finished,1415be50-4c69-45a5-b52f-09a220893fb3,41760 cpu-seconds,170260743 mb-seconds,519,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1520_p0.json,finished,2ef4df85-317d-4c0e-9898-0a7d5fa46ea1,14571 cpu-seconds,59286799 mb-seconds,272,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id1910_p0.json,finished,ca858742-acdd-4380-b0d7-5bd7033098fd,21110 cpu-seconds,85997061 mb-seconds,346,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id4351_p0.json,finished,ca2f9827-4bcc-47e8-94e0-a40baf977c3d,1884 cpu-seconds,6919052 mb-seconds,397,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id5100_p0.json,finished,a5b46855-b551-4b97-b344-5723d6f8f86e,53707 cpu-seconds,218895127 mb-seconds,666,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id5100_p1.json,finished,18b30705-214f-4dce-bbde-a50a8528a9c9,50092 cpu-seconds,204077482 mb-seconds,707,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2017_zone31_id8100_p0.json,finished,741b55da-f98e-484d-a004-2a080039409f,31072 cpu-seconds,126563950 mb-seconds,470,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1110_p0.json,finished,3f333696-5e82-4b0d-a649-823e71558f8b,51844 cpu-seconds,211240907 mb-seconds,707,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1110_p1.json,finished,07746d3c-46d5-48a1-ab3a-cd1fe61001b6,43853 cpu-seconds,178827827 mb-seconds,546,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1120_p0.json,finished,e17755bd-db80-4f9f-9d60-c3fcf2254bbf,5463 cpu-seconds,21718246 mb-seconds,341,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p0.json,finished,f8041019-9329-489f-a1e8-0a175852aba4,53639 cpu-seconds,218603410 mb-seconds,654,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p1.json,finished,93359a71-b63a-4dd7-8692-04645f001f95,62284 cpu-seconds,253611998 mb-seconds,856,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p2.json,finished,ea3622bd-bc68-4918-9e8a-6700ced04c77,54236 cpu-seconds,221087418 mb-seconds,658,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p3.json,finished,40d6fe99-deb9-4689-88bf-930303c05b13,57362 cpu-seconds,233808656 mb-seconds,687,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p4.json,finished,657bb1fa-f8ac-4a79-87f1-2899facc5c6a,60108 cpu-seconds,245003831 mb-seconds,706,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id1200_p5.json,finished,4a586ee8-731a-4287-b3b5-1a3ad1c496f9,53854 cpu-seconds,219448770 mb-seconds,642,tbd
